Gender,MaritalStatus,Age,Accommodation,Faculty,SecSchType ,HealthCondition, LevelOfStudy,LectureAttend,ClassActive,LateFreq,StudyHours,CGPA,TechUtilization,EmpStatus,SocialMedia,StressMang,SadFreq,StudentAssoc,ExtracurricularAct,YearsBefAdmission,FamilySize,SponsorType,SponsorIncome,SponsorSupport, HomeResp,ProgramPref,OnlineResources,TeachStaffComp,QualityOfFacilities,ClassSize,InternetAccess,LecClarification,LecSupport,TeachnApproach,TeachnResources,TopicDensity,LecAbsFreq,LecPuctuality,TeachExperience
Male,Single,26-30,Off-campus,Agriculture,Public,No,500,Strongly disagree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Very frequently,Yes,1-2 hours,Very high,Never,No,Occasionally,2-3 years,1-4 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Poor,Good,Average,No,Disagree,Good,Good,Rarely,Occasionally,Agree,Disagree,Agree,Excellent
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Disagree,Occasionally,Rarely,More than 20 hours,3.50 - 4.49,Very frequently,No,3-4 hours,Moderate,Sometimes,No,Frequently,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Very frequently,No,Very poor,Good,Good,No,Disagree,Good,Good,Frequently,Occasionally,Disagree,Disagree,Disagree,Good
Male,Single,21-25,Off-campus,Agriculture,Public,No,500,Strongly disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Very frequently,Yes,2-3 hours,Moderate,Often,No,Occasionally,1-2 years,5-9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Average,Average,Average,No,Strongly disagree,Average,Average,Occasionally,Occasionally,Disagree,Agree,Agree,Average
Male,Single,21-25,On-campus,Life Sciences,Private,No,500,Agree,Occasionally,Twice a week,10-15 hours,3.50 - 4.49,Very frequently,No,3-4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Poor,Good,Good,Yes,Agree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,26-30,Living with family/relatives,Life Sciences,Public,No,500,Agree,Occasionally,Twice a week,Less than 5 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Often,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Average,Good,Good,Yes,Strongly disagree,Good,Good,Frequently,Never,Disagree,Agree,Agree,Good
Male,Single,26-30,On-campus,Engineering,Public,No,500,Agree,Occasionally,Rarely,More than 20 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,High,Sometimes,No,Rarely,More than 3 years,5-9 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Poor,Poor,Very poor,No,Strongly disagree,Poor,Poor,Rarely,Never,Agree,Strongly agree,Strongly agree,Very poor
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Agree,Rarely,Once a week,10-15 hours,1.50 - 2.39,Frequently,No,1-2 hours,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,5-9 members,Guardian,"Below N80,000",Average,Frequently,Yes,Very poor,Very poor,Average,No,Disagree,Average,Average,Rarely,Never,Disagree,Agree,Agree,Average
Male,Single,21-25,Living with family/relatives,Education,Public,No,200,Agree,Very frequently,Once a week,5-10 hours,1.50 - 2.39,Very frequently,No,1-2 hours,High,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",High,Frequently,Yes,Excellent,Excellent,Excellent,No,Strongly agree,Good,Good,Frequently,Never,Agree,Agree,Agree,Good
Male,Single,26-30,On-campus,Engineering,Private,No,500,Disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Rarely,1-2 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Occasionally,Yes,Excellent,Excellent,Excellent,Yes,Strongly agree,Excellent,Excellent,Frequently,Always,Strongly disagree,Disagree,Disagree,Excellent
Male,Single,21-25,On-campus,Physical Sciences,Private,No,500,Agree,Occasionally,Twice a week,5-10 hours,3.50 - 4.49,Frequently,No,3-4 hours,High,Sometimes,Yes,Very frequently,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Low,Occasionally,Yes,Poor,Excellent,Good,Yes,Disagree,Good,Excellent,Always,Occasionally,Disagree,Strongly disagree,Disagree,Good
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Agree,Frequently,Once a week,10-15 hours,2.40 - 3.49,Very frequently,No,2-3 hours,Moderate,Sometimes,Yes,Frequently,1-2 years,Above 9 members,Parents,"Above N150,000",High,Not at all,No,Very poor,Excellent,Average,Yes,Strongly disagree,Good,Average,Occasionally,Frequently,Agree,Agree,Agree,Average
Female,Single,21-25,Living with family/relatives,Environmental,Private,Yes,500,Disagree,Frequently,Never,5-10 hours,2.40 - 3.49,Occasionally,No,Less than 1 hour,Moderate,Sometimes,Yes,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Excellent,Excellent,Good,No,Agree,Excellent,Excellent,Frequently,Always,Disagree,Disagree,Disagree,Excellent
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Disagree,Frequently,Almost every day,5-10 hours,3.50 - 4.49,Occasionally,No,3-4 hours,Moderate,Sometimes,Yes,Frequently,2-3 years,Above 9 members,Parents,"Below N80,000",Average,Very frequently,Yes,Very poor,Excellent,Average,Yes,Disagree,Excellent,Good,Occasionally,Occasionally,Disagree,Disagree,Disagree,Excellent
Female,Single,21-25,Living with family/relatives,Physical Sciences,Private,No,500,Disagree,Occasionally,Once a week,10-15 hours,3.50 - 4.49,Very frequently,Yes,3-4 hours,Moderate,Sometimes,No,Frequently,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Very frequently,Yes,Poor,Average,Very poor,Yes,Strongly disagree,Average,Average,Occasionally,Occasionally,Agree,Disagree,Disagree,Average
Male,Single,21-25,On-campus,Education,Public,No,500,Strongly disagree,Frequently,Rarely,More than 20 hours,4.50 - 5.00,Very frequently,No,2-3 hours,Moderate,Often,No,Very frequently,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,No,Poor,Good,Poor,Yes,Strongly agree,Average,Average,Frequently,Occasionally,Agree,Strongly agree,Agree,Good
Male,Single,21-25,Off-campus,Engineering,Private,No,500,Disagree,Rarely,Rarely,More than 20 hours,2.40 - 3.49,Occasionally,No,More than 4 hours,Low,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Frequently,No,Good,Good,Good,Yes,Disagree,Average,Average,Frequently,Occasionally,Disagree,Strongly disagree,Disagree,Good
Male,Single,21-25,Off-campus,Environmental,Public,No,500,Agree,Rarely,Twice a week,5-10 hours,2.40 - 3.49,Occasionally,No,Less than 1 hour,Low,Very often,No,Rarely,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Frequently,No,Poor,Average,Poor,Yes,Agree,Average,Average,Occasionally,Rarely,Agree,Agree,Agree,Average
Female,Single,21-25,On-campus,Life Sciences,Private,No,500,Disagree,Occasionally,Once a week,Less than 5 hours,1.50 - 2.39,Occasionally,Yes,More than 4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,1-4 members,Self-sponsored,"Below N80,000",Low,Very frequently,Yes,Very poor,Average,Very poor,No,Strongly disagree,Good,Good,Always,Occasionally,Disagree,Disagree,Disagree,Average
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Agree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,2-3 hours,High,Sometimes,Yes,Frequently,2-3 years,1-4 members,Guardian,"Above N150,000",Average,Frequently,No,Average,Good,Average,No,Disagree,Good,Excellent,Occasionally,Always,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Engineering,Private,No,500,Disagree,Frequently,Once a week,10-15 hours,2.40 - 3.49,Very frequently,No,2-3 hours,High,Sometimes,No,Occasionally,Less than 1 year,Above 9 members,Guardian,"Above N150,000",High,Occasionally,Yes,Poor,Good,Good,No,Strongly disagree,Average,Average,Rarely,Occasionally,Agree,Disagree,Disagree,Good
Male,Single,31-35,Off-campus,Physical Sciences,Public,No,500,Agree,Occasionally,Twice a week,5-10 hours,3.50 - 4.49,Occasionally,Yes,2-3 hours,High,Often,No,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Poor,Poor,Average,Yes,Agree,Good,Good,Frequently,Rarely,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Life Sciences,Public,No,500,Strongly disagree,Frequently,Rarely,10-15 hours,3.50 - 4.49,Occasionally,Yes,3-4 hours,Moderate,Sometimes,No,Never,1-2 years,5-9 members,Parents,"Below N80,000",High,Frequently,Yes,Average,Good,Average,No,Agree,Excellent,Excellent,Always,Frequently,Agree,Agree,Agree,Excellent
Female,Single,21-25,Off-campus,Life Sciences,Private,No,500,Disagree,Rarely,Once a week,5-10 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Very high,Sometimes,No,Very frequently,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Very frequently,Yes,Average,Good,Very poor,No,Agree,Average,Average,Occasionally,Occasionally,Strongly agree,Strongly agree,Agree,Average
Male,Single,21-25,On-campus,Life Sciences,Private,No,500,Disagree,Rarely,Once a week,5-10 hours,2.40 - 3.49,Very frequently,Yes,1-2 hours,Very low,Often,No,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Very poor,Average,Poor,No,Disagree,Average,Average,Rarely,Rarely,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Education,Public,No,500,Agree,Occasionally,Twice a week,Less than 5 hours,1.50 - 2.39,Frequently,Yes,3-4 hours,Moderate,Often,No,Occasionally,1-2 years,Above 9 members,Guardian,"Below N80,000",High,Occasionally,No,Average,Good,Average,Yes,Agree,Good,Excellent,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,26-30,On-campus,Environmental,Public,No,500,Strongly disagree,Frequently,Almost every day,15-20 hours,2.40 - 3.49,Frequently,No,2-3 hours,High,Sometimes,No,Frequently,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",High,Very frequently,No,Good,Excellent,Excellent,Yes,Agree,Excellent,Excellent,Always,Always,Strongly agree,Disagree,Strongly disagree,Excellent
Male,Single,21-25,On-campus,Education,Private,No,500,Disagree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,2-3 hours,High,Sometimes,No,Frequently,Less than 1 year,5-9 members,Guardian,"Above N150,000",Average,Frequently,Yes,Average,Good,Average,Yes,Disagree,Good,Good,Occasionally,Frequently,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Environmental,Public,No,500,Strongly disagree,Frequently,Rarely,15-20 hours,3.50 - 4.49,Occasionally,No,3-4 hours,High,Sometimes,Yes,Frequently,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Occasionally,No,Average,Good,Average,Yes,Disagree,Average,Good,Occasionally,Occasionally,Strongly agree,Agree,Strongly agree,Average
Male,Single,21-25,Off-campus,Life Sciences,Private,No,500,Disagree,Occasionally,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,2-3 hours,Moderate,Sometimes,Yes,Frequently,1-2 years,5-9 members,Parents,"Below N80,000",Average,Occasionally,No,Poor,Average,Very poor,Yes,Disagree,Good,Good,Occasionally,Occasionally,Disagree,Disagree,Disagree,Average
Male,Single,21-25,Off-campus,Engineering,Private,No,300,Disagree,Rarely,Never,5-10 hours,3.50 - 4.49,Very frequently,No,1-2 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Poor,Good,Good,Yes,Disagree,Excellent,Good,Frequently,Frequently,Agree,Agree,Disagree,Excellent
Female,Single,21-25,On-campus,Life Sciences,Private,No,500,Agree,Occasionally,Twice a week,5-10 hours,3.50 - 4.49,Very frequently,No,3-4 hours,High,Sometimes,Yes,Occasionally,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Poor,Excellent,Average,Yes,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Living with family/relatives,Social and Management Science,Public,No,500,Strongly agree,Frequently,Rarely,5-10 hours,1.50 - 2.39,Very frequently,No,3-4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Guardian,"Below N80,000",High,Very frequently,Yes,Average,Excellent,Good,Yes,Disagree,Excellent,Excellent,Frequently,Occasionally,Disagree,Disagree,Agree,Excellent
Male,Single,26-30,Off-campus,Life Sciences,Public,No,500,Disagree,Rarely,Twice a week,Less than 5 hours,2.40 - 3.49,Rarely,Yes,Less than 1 hour,Moderate,Often,Yes,Very frequently,1-2 years,5-9 members,Parents,"Below N80,000",Low,Frequently,No,Average,Good,Good,Yes,Agree,Good,Good,Always,Rarely,Agree,Agree,Agree,Excellent
Male,Single,26-30,Off-campus,Engineering,Private,No,400,Disagree,Rarely,Rarely,Less than 5 hours,1.50 - 2.39,Occasionally,No,2-3 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Poor,Good,Good,Yes,Disagree,Good,Excellent,Frequently,Occasionally,Disagree,Disagree,Disagree,Good
Male,Single,26-30,Off-campus,Life Sciences,Private,No,400,Strongly agree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Rarely,Yes,More than 4 hours,Moderate,Sometimes,Yes,Occasionally,1-2 years,5-9 members,Scholarship,"Below N80,000",High,Frequently,Yes,Poor,Average,Very poor,No,Disagree,Average,Average,Rarely,Rarely,Disagree,Strongly agree,Strongly agree,Good
Female,Single,21-25,Living with family/relatives,Education,Private,No,500,Disagree,Frequently,Once a week,Less than 5 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Often,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,No,Good,Good,Good,Yes,Strongly disagree,Good,Average,Occasionally,Occasionally,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Life Sciences,Private,No,500,Disagree,Frequently,Rarely,10-15 hours,3.50 - 4.49,Very frequently,No,1-2 hours,Moderate,Sometimes,Yes,Frequently,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Poor,Good,Average,Yes,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Private,No,300,Disagree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,2-3 hours,Moderate,Sometimes,No,Rarely,More than 3 years,Above 9 members,Parents,"Above N150,000",High,Frequently,Yes,Very poor,Average,Poor,No,Strongly disagree,Average,Good,Frequently,Occasionally,Agree,Agree,Agree,Average
Male,Single,21-25,Living with family/relatives,Social and Management Science,Public,No,500,Agree,Rarely,Rarely,Less than 5 hours,1.50 - 2.39,Frequently,No,2-3 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Good,Very poor,Yes,Strongly disagree,Good,Good,Occasionally,Frequently,Agree,Agree,Agree,Average
Male,Married,36 or above,Off-campus,Environmental,Public,No,400,Strongly agree,Rarely,Once a week,Less than 5 hours,3.50 - 4.49,Frequently,Yes,More than 4 hours,Moderate,Sometimes,Yes,Occasionally,1-2 years,5-9 members,Self-sponsored,"Below N80,000",High,Frequently,Yes,Poor,Average,Poor,Yes,Disagree,Good,Average,Rarely,Occasionally,Agree,Strongly agree,Agree,Good
Male,Single,16-20,Off-campus,Environmental,Public,No,200,Disagree,Frequently,Once a week,5-10 hours,1.50 - 2.39,Very frequently,No,Less than 1 hour,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Very frequently,Yes,Excellent,Excellent,Excellent,No,Agree,Excellent,Good,Frequently,Occasionally,Strongly disagree,Disagree,Agree,Excellent
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,500,Agree,Frequently,Once a week,5-10 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,Yes,Never,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",High,Not at all,Yes,Average,Good,Average,Yes,Disagree,Average,Average,Always,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Private,No,500,Agree,Rarely,Twice a week,5-10 hours,1.50 - 2.39,Occasionally,No,3-4 hours,Moderate,Sometimes,No,Frequently,Less than 1 year,Above 9 members,Guardian,"Below N80,000",Average,Occasionally,No,Average,Average,Average,Yes,Strongly disagree,Average,Average,Occasionally,Occasionally,Agree,Disagree,Disagree,Average
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Strongly disagree,Frequently,Never,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,High,Very often,Yes,Occasionally,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Excellent,Good,Good,Yes,Disagree,Average,Good,Occasionally,Rarely,Agree,Strongly agree,Strongly agree,Good
Male,Single,26-30,Off-campus,Environmental,Public,No,500,Agree,Occasionally,Once a week,5-10 hours,1.50 - 2.39,Very frequently,No,2-3 hours,Very high,Sometimes,No,Rarely,More than 3 years,5-9 members,Self-sponsored,"Below N80,000",Low,Very frequently,No,Very poor,Average,Average,Yes,Strongly agree,Average,Excellent,Frequently,Frequently,Disagree,Agree,Disagree,Average
Male,Single,26-30,On-campus,Environmental,Private,No,500,Strongly disagree,Frequently,Rarely,5-10 hours,2.40 - 3.49,Very frequently,No,3-4 hours,Moderate,Sometimes,Yes,Very frequently,Less than 1 year,5-9 members,Parents,"Above N150,000",Average,Frequently,No,Good,Good,Average,Yes,Agree,Good,Good,Always,Frequently,Disagree,Disagree,Agree,Good
Male,Single,26-30,Off-campus,Engineering,Public,No,500,Agree,Occasionally,Rarely,5-10 hours,3.50 - 4.49,Very frequently,No,1-2 hours,Moderate,Sometimes,Yes,Occasionally,More than 3 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Poor,Good,Average,Yes,Disagree,Good,Excellent,Always,Frequently,Agree,Agree,Agree,Excellent
Male,Single,21-25,On-campus,Life Sciences,Private,No,500,Agree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Never,Yes,Rarely,1-2 years,5-9 members,Parents,"Above N150,000",High,Very frequently,Yes,Excellent,Good,Excellent,Yes,Strongly agree,Good,Excellent,Always,Always,Agree,Disagree,Agree,Excellent
Female,Single,21-25,Off-campus,Education,Private,No,500,Disagree,Frequently,Never,Less than 5 hours,2.40 - 3.49,Very frequently,No,2-3 hours,High,Often,Yes,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Excellent,Good,Good,Yes,Strongly agree,Average,Good,Occasionally,Occasionally,Disagree,Disagree,Disagree,Good
Female,Single,21-25,Off-campus,Agriculture,Private,No,500,Agree,Frequently,Rarely,Less than 5 hours,3.50 - 4.49,Occasionally,Yes,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,No,Average,Good,Average,Yes,Disagree,Good,Average,Frequently,Rarely,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Life Sciences,Private,No,500,Strongly agree,Rarely,Rarely,Less than 5 hours,1.50 - 2.39,Frequently,No,2-3 hours,High,Never,No,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Average,Excellent,Excellent,Yes,Agree,Excellent,Good,Frequently,Always,Disagree,Agree,Disagree,Excellent
Male,Single,31-35,Off-campus,Environmental,Public,No,500,Agree,Occasionally,Rarely,15-20 hours,2.40 - 3.49,Very frequently,No,Less than 1 hour,High,Sometimes,No,Never,More than 3 years,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Poor,Excellent,Good,Yes,Agree,Good,Good,Always,Always,Disagree,Agree,Disagree,Good
Male,Single,21-25,On-campus,Life Sciences,Private,No,300,Disagree,Frequently,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,Yes,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Very frequently,No,Good,Good,Poor,No,Disagree,Good,Average,Rarely,Always,Disagree,Disagree,Disagree,Excellent
Male,Married,31-35,On-campus,Agriculture,Public,No,500,Agree,Rarely,Once a week,5-10 hours,2.40 - 3.49,Occasionally,No,1-2 hours,Moderate,Often,No,Very frequently,Less than 1 year,5-9 members,Self-sponsored,"Below N80,000",Low,Very frequently,Yes,Average,Good,Good,Yes,Disagree,Good,Good,Occasionally,Frequently,Disagree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Environmental,Private,No,500,Agree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,Yes,2-3 hours,Very low,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Low,Frequently,Yes,Poor,Good,Average,Yes,Disagree,Good,Good,Rarely,Rarely,Disagree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Agree,Occasionally,Almost every day,5-10 hours,2.40 - 3.49,Rarely,No,1-2 hours,Moderate,Often,No,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Low,Not at all,No,Poor,Poor,Poor,No,Agree,Average,Poor,Rarely,Rarely,Disagree,Disagree,Agree,Good
Male,Single,26-30,On-campus,Physical Sciences,Public,No,500,Agree,Never,Twice a week,5-10 hours,1.50 - 2.39,Occasionally,Yes,2-3 hours,Very low,Often,No,Frequently,1-2 years,Above 9 members,Parents,"Above N150,000",Average,Frequently,Yes,Very poor,Very poor,Average,No,Disagree,Average,Very poor,Rarely,Rarely,Agree,Agree,Agree,Very poor
Male,Single,26-30,On-campus,Life Sciences,Public,No,400,Strongly disagree,Occasionally,Never,5-10 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Average,Excellent,Good,Yes,Disagree,Good,Good,Frequently,Frequently,Disagree,Disagree,Agree,Excellent
Male,Single,16-20,Living with family/relatives,Physical Sciences,Private,No,400,Strongly disagree,Rarely,Never,Less than 5 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,Yes,Frequently,1-2 years,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Average,Good,Good,Yes,Agree,Good,Good,Frequently,Always,Agree,Disagree,Disagree,Good
Female,Single,36 or above,On-campus,Education,Public,Yes,500,Disagree,Very frequently,Never,5-10 hours,3.50 - 4.49,Very frequently,Yes,Less than 1 hour,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,5-9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Poor,Excellent,Good,Yes,Disagree,Excellent,Excellent,Always,Always,Disagree,Disagree,Disagree,Excellent
Female,Single,21-25,On-campus,Physical Sciences,Private,No,400,Agree,Frequently,Once a week,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Moderate,Often,No,Rarely,Less than 1 year,5-9 members,Guardian,"N80,000 - N150,000",High,Frequently,Yes,Very poor,Good,Good,Yes,Disagree,Good,Good,Frequently,Occasionally,Disagree,Agree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Public,No,500,Strongly agree,Rarely,Almost every day,5-10 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Often,Yes,Rarely,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Very poor,Average,Poor,No,Strongly disagree,Excellent,Excellent,Frequently,Frequently,Strongly agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Engineering,Private,No,500,Strongly disagree,Never,Rarely,10-15 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Very high,Sometimes,Yes,Occasionally,Less than 1 year,5-9 members,Guardian,"Above N150,000",Average,Frequently,Yes,Very poor,Average,Very poor,No,Agree,Average,Good,Rarely,Never,Disagree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Life Sciences,Private,No,500,Strongly agree,Very frequently,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Very often,Yes,Rarely,Less than 1 year,Above 9 members,Parents,"Above N150,000",High,Very frequently,Yes,Very poor,Poor,Very poor,No,Strongly disagree,Very poor,Good,Never,Rarely,Agree,Agree,Disagree,Average
Male,Single,21-25,On-campus,Engineering,Private,No,500,Disagree,Occasionally,Rarely,5-10 hours,3.50 - 4.49,Very frequently,No,1-2 hours,High,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Excellent,Excellent,Good,Yes,Disagree,Excellent,Excellent,Always,Frequently,Disagree,Disagree,Disagree,Excellent
Male,Single,26-30,Living with family/relatives,Education,Public,No,500,Strongly disagree,Occasionally,Never,5-10 hours,2.40 - 3.49,Frequently,Yes,2-3 hours,Moderate,Sometimes,No,Never,1-2 years,Above 9 members,Parents,"Below N80,000",High,Frequently,Yes,Very poor,Excellent,Very poor,Yes,Agree,Excellent,Excellent,Always,Occasionally,Agree,Disagree,Agree,Excellent
Male,Single,21-25,On-campus,Environmental,Public,No,500,Strongly disagree,Frequently,Never,10-15 hours,4.50 - 5.00,Frequently,No,1-2 hours,High,Often,Yes,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Poor,Good,Poor,Yes,Disagree,Good,Excellent,Frequently,Occasionally,Disagree,Disagree,Disagree,Excellent
Male,Single,21-25,Living with family/relatives,Social and Management Science,Public,No,300,Agree,Never,Twice a week,Less than 5 hours,2.40 - 3.49,Occasionally,Yes,Less than 1 hour,Moderate,Sometimes,No,Never,1-2 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Good,Good,Good,No,Agree,Good,Good,Always,Never,Disagree,Agree,Disagree,Good
Male,Single,21-25,Off-campus,Life Sciences,Public,No,400,Agree,Occasionally,Almost every day,5-10 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Never,No,Occasionally,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Poor,Excellent,Average,Yes,Disagree,Excellent,Good,Occasionally,Occasionally,Agree,Strongly disagree,Agree,Good
Male,Single,26-30,Off-campus,Life Sciences,Public,No,500,Disagree,Occasionally,Never,Less than 5 hours,2.40 - 3.49,Very frequently,No,Less than 1 hour,Moderate,Sometimes,Yes,Very frequently,1-2 years,Above 9 members,Parents,"Below N80,000",Average,Very frequently,Yes,Average,Good,Good,Yes,Disagree,Excellent,Excellent,Frequently,Frequently,Agree,Disagree,Disagree,Excellent
Male,Single,16-20,On-campus,Life Sciences,Public,No,300,Strongly agree,Rarely,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Very high,Sometimes,Yes,Occasionally,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Average,Good,Good,Yes,Disagree,Good,Average,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Life Sciences,Public,No,400,Agree,Occasionally,Rarely,More than 20 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Rarely,2-3 years,Above 9 members,Parents,"N80,000 - N150,000",High,Occasionally,No,Poor,Good,Poor,Yes,Disagree,Good,Good,Frequently,Frequently,Disagree,Agree,Agree,Good
